iter	Passed	Remaining
0	5	568
1	12	592
2	17	565
3	22	540
4	29	567
5	35	553
6	40	532
7	46	536
8	51	523
9	56	510
10	64	520
11	69	510
12	76	514
13	82	504
14	87	495
15	94	498
16	100	490
17	106	486
18	111	474
19	115	462
20	121	457
21	126	449
22	131	438
23	137	435
24	142	428
25	147	418
26	153	415
27	157	404
28	161	396
29	166	389
30	173	386
31	178	378
32	182	371
33	189	367
34	193	359
35	198	353
36	201	343
37	207	337
38	211	331
39	218	327
40	223	321
41	228	315
42	234	310
43	239	304
44	244	298
45	250	294
46	255	288
47	260	282
48	267	278
49	272	272
50	276	265
51	282	261
52	287	255
53	292	249
54	300	245
55	304	239
56	309	233
57	315	228
58	320	222
59	324	216
60	332	212
61	337	206
62	342	200
63	349	196
64	353	190
65	360	185
66	365	179
67	369	173
68	374	168
69	379	162
70	384	156
71	389	151
72	395	146
73	400	140
74	405	135
75	410	129
76	414	123
77	419	118
78	425	113
79	428	107
80	432	101
81	436	95
82	439	90
83	442	84
84	444	78
85	447	72
86	449	67
87	454	61
88	457	56
89	459	51
90	462	45
91	464	40
92	469	35
93	471	30
94	474	24
95	476	19
96	478	14
97	481	9
98	486	4
99	489	0
